#SLINE  RLINE  SOU_X  SOU_Y  REC_X  REC_Y  OFFSET  SR_AZIM  REC_ELEV  SOURCE  NODE  SRF_SLOC  FB_PICK  FB_SMTH  EVENT
25130019 366202 287352.90000 7440843.90000 291425.09000 7442748.40000 4495.53686 64.93524 100.00000 2585 70 2636 166.26176 221.82425 add
25130019 366202 287352.90000 7440843.90000 291413.00000 7442770.30000 4493.93246 64.61701 100.00000 2585 71 2630 2024.30469 2023.80469 add
25130019 366202 287352.90000 7440843.90000 291401.40000 7442792.50000 4493.03842 64.29783 100.00000 2585 72 2624 2023.80469 2023.80469 add
25130019 366202 287352.90000 7440843.90000 291389.09000 7442814.20000 4491.42648 63.98030 100.00000 2585 73 2618 3.20000 3.20000 add
25130019 366202 287352.90000 7440843.90000 291376.50000 7442836.00000 4489.74603 63.65981 100.00000 2585 74 2612 3.20000 3.20000 add
25130019 366202 287352.90000 7440843.90000 291364.00000 7442857.80000 4488.28658 63.33961 100.00000 2585 75 2606 3.20000 3.20000 add
25130019 366202 287352.90000 7440843.90000 291351.50000 7442879.50000 4486.92203 63.02035 100.00000 2585 76 2600 2019.71484 2018.89062 add
25130019 366202 287352.90000 7440843.90000 291338.59000 7442901.00000 4485.24082 62.70077 100.00000 2585 77 2594 2018.89062 2018.89062 add
25130019 366202 287352.90000 7440843.90000 291325.40000 7442922.20000 4483.31207 62.38270 100.00000 2585 78 2588 2017.58984 2017.58984 add
25130019 366202 287352.90000 7440843.90000 291311.70000 7442943.10000 4480.93049 62.06471 100.00000 2585 79 2582 2016.19141 2016.19141 add
25130019 366202 287352.90000 7440843.90000 291297.59000 7442964.00000 4478.32594 61.74390 100.00000 2585 80 2576 150.42972 150.42972 add
25130019 366202 287352.90000 7440843.90000 291283.70000 7442984.60000 4475.91165 61.42744 100.00000 2585 81 2570 132.47658 132.47658 add
25130019 366202 287352.90000 7440843.90000 291270.59000 7443005.80000 4474.60686 61.10876 100.00000 2585 82 2564 118.84760 132.47658 add
25130019 366202 287352.90000 7440843.90000 291258.30000 7443027.70000 4474.49792 60.78719 100.00000 2585 83 2558 2020.82812 2020.53906 add
